post_id,title,category,score,num_comments,author,collected_at
47724352,Filing the corners off my MacBooks,entertainment,1398,672,normanvalentine,2026-04-14 23:20:08.497716
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 23:22:45.181270
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 23:21:13.474726
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,510,294,a-ve,2026-04-14 23:19:55.399512
47750872,Servo is now available on crates.io,technology,463,147,ffin,2026-04-14 23:19:01.888872
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,459,258,m-hodges,2026-04-14 23:18:50.493072
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,277,neversaydie,2026-04-14 23:21:39.552804
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 23:25:32.670130
47753689,Building a CLI for all of Cloudflare,technology,322,106,soheilpro,2026-04-14 23:18:32.636950
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 23:22:55.557047
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,262,69,tlhunter,2026-04-14 23:27:50.082344
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,Rochus,2026-04-14 23:20:50.975104
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 23:21:45.569836
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,169,randerson_112,2026-04-14 23:23:15.198854
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,165,44,cvrajeesh,2026-04-14 23:18:58.293835
47738343,The Physics of GPS,science,163,35,maouida,2026-04-14 23:20:49.561631
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 23:26:59.660311
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 23:22:32.953833
47745230,Sam Altman's home targeted in second attack,worldnews,152,362,babelfish,2026-04-14 23:25:25.350745
47728970,"Write less code, be more responsible",technology,151,98,orhunp_,2026-04-14 23:18:25.567932
